distance_bin,distance_min,distance_max,pair_count,metric,low_count,low_unique_count,high_count,source_anchor_count,low_coview_mean,high_coview_mean,low_distance_mean,high_distance_mean,mean_absolute_distance_mismatch,low_metric_mean,high_metric_mean,high_minus_low
0,0.004999876022338867,0.07483307636902782,26388,feature_cosine,26388,14018,26388,5337,0.9526807069778442,0.9955081939697266,0.057145208107025634,0.0567626239495303,0.001852612375174741,0.3517882227897644,0.3410157263278961,-0.010772496461868286
0,0.004999876022338867,0.07483307636902782,26388,feature_l2,26388,14018,26388,5337,0.9526807069778442,0.9955081939697266,0.057145208107025634,0.0567626239495303,0.001852612375174741,10.91201400756836,11.027466773986816,0.11545276641845703
0,0.004999876022338867,0.07483307636902782,26388,scaling_l2,26388,14018,26388,5337,0.9526807069778442,0.9955081939697266,0.057145208107025634,0.0567626239495303,0.001852612375174741,0.06602833420038223,0.06473875045776367,-0.0012895837426185608
0,0.004999876022338867,0.07483307636902782,26388,offset_l2,26388,14018,26388,5337,0.9526807069778442,0.9955081939697266,0.057145208107025634,0.0567626239495303,0.001852612375174741,10.004881858825684,10.124484062194824,0.11960220336914062
1,0.07483307636902782,0.09380853072031142,27054,feature_cosine,27054,14883,27054,7113,0.947312593460083,0.9937222599983215,0.08496927013933836,0.08477602933127515,0.0016822194098333808,0.3204385042190552,0.3202933967113495,-0.00014510750770568848
1,0.07483307636902782,0.09380853072031142,27054,feature_l2,27054,14883,27054,7113,0.947312593460083,0.9937222599983215,0.08496927013933836,0.08477602933127515,0.0016822194098333808,11.123696327209473,11.12137222290039,-0.0023241043090820312
1,0.07483307636902782,0.09380853072031142,27054,scaling_l2,27054,14883,27054,7113,0.947312593460083,0.9937222599983215,0.08496927013933836,0.08477602933127515,0.0016822194098333808,0.07376161217689514,0.0723734125494957,-0.0013881996273994446
1,0.07483307636902782,0.09380853072031142,27054,offset_l2,27054,14883,27054,7113,0.947312593460083,0.9937222599983215,0.08496927013933836,0.08477602933127515,0.0016822194098333808,9.966513633728027,9.989542961120605,0.023029327392578125
2,0.09380853072031142,0.10954484232219874,26718,feature_cosine,26718,15219,26718,7844,0.9444960355758667,0.9931521415710449,0.10250373368758428,0.10234206906228617,0.0015778034296055046,0.32085660099983215,0.31243765354156494,-0.008418947458267212
2,0.09380853072031142,0.10954484232219874,26718,feature_l2,26718,15219,26718,7844,0.9444960355758667,0.9931521415710449,0.10250373368758428,0.10234206906228617,0.0015778034296055046,11.111628532409668,11.233330726623535,0.12170219421386719
