scene,score_type,attribute,supporting_bins,valid_bins,support_fraction,mean_high_minus_low
playroom,binary_jaccard,feature_cosine,0,10,0.0,-0.00508473813533783
playroom,binary_jaccard,feature_l2,1,10,0.1,0.0628702163696289
playroom,binary_jaccard,scaling_l2,10,10,1.0,-0.002090369910001755
playroom,binary_jaccard,offset_l2,2,10,0.2,0.040816974639892575
playroom,geometric_distance,feature_cosine,4,10,0.4,-0.0033349484205245973
playroom,geometric_distance,feature_l2,1,10,0.1,0.11171875
playroom,geometric_distance,scaling_l2,9,10,0.9,-0.004755882546305656
playroom,geometric_distance,offset_l2,0,10,0.0,0.11496973037719727
playroom,geometric_direction,feature_cosine,8,10,0.8,0.021488451957702638
playroom,geometric_direction,feature_l2,8,10,0.8,-0.20184898376464844
playroom,geometric_direction,scaling_l2,0,10,0.0,0.011225929111242294
playroom,geometric_direction,offset_l2,3,10,0.3,0.018921947479248045
playroom,geometric_image,feature_cosine,9,10,0.9,0.0353420153260231
playroom,geometric_image,feature_l2,10,10,1.0,-0.32546329498291016
playroom,geometric_image,scaling_l2,1,10,0.1,0.009424695372581482
playroom,geometric_image,offset_l2,6,10,0.6,0.011454582214355469
playroom,geometric_depth,feature_cosine,5,10,0.5,0.003069213032722473
playroom,geometric_depth,feature_l2,3,10,0.3,0.0600830078125
playroom,geometric_depth,scaling_l2,8,10,0.8,-0.004409509152173996
playroom,geometric_depth,offset_l2,2,10,0.2,0.1081040382385254
playroom,geometric_composite,feature_cosine,10,10,1.0,0.055975872278213504
playroom,geometric_composite,feature_l2,9,10,0.9,-0.5125699043273926
playroom,geometric_composite,scaling_l2,3,10,0.3,0.014419984817504884
playroom,geometric_composite,offset_l2,8,10,0.8,-0.477687931060791
room,binary_jaccard,feature_cosine,4,10,0.4,0.00010007917881011963
room,binary_jaccard,feature_l2,4,10,0.4,0.00017728805541992188
room,binary_jaccard,scaling_l2,6,10,0.6,0.0005387881770730019
room,binary_jaccard,offset_l2,5,10,0.5,0.004114103317260742
room,geometric_distance,feature_cosine,9,10,0.9,0.011161953210830688
room,geometric_distance,feature_l2,7,10,0.7,-0.0848928451538086
room,geometric_distance,scaling_l2,9,10,0.9,-0.0017356973141431809
room,geometric_distance,offset_l2,7,10,0.7,-0.0219451904296875
room,geometric_direction,feature_cosine,9,10,0.9,0.015385548770427703
room,geometric_direction,feature_l2,6,10,0.6,-0.10514945983886718
room,geometric_direction,scaling_l2,1,10,0.1,0.005444260686635971
room,geometric_direction,offset_l2,5,10,0.5,0.028534507751464842
room,geometric_image,feature_cosine,6,10,0.6,0.00712333619594574
room,geometric_image,feature_l2,8,10,0.8,-0.10679416656494141
room,geometric_image,scaling_l2,2,10,0.2,0.005132031813263893
room,geometric_image,offset_l2,6,10,0.6,0.006259250640869141
room,geometric_depth,feature_cosine,9,10,0.9,0.006049686670303344
room,geometric_depth,feature_l2,6,10,0.6,-0.04109458923339844
room,geometric_depth,scaling_l2,8,10,0.8,-0.001095619425177574
room,geometric_depth,offset_l2,7,10,0.7,-0.03065524101257324
room,geometric_composite,feature_cosine,6,10,0.6,0.01704239398241043
room,geometric_composite,feature_l2,6,10,0.6,-0.09312925338745118
room,geometric_composite,scaling_l2,2,10,0.2,0.01222432591021061
room,geometric_composite,offset_l2,4,10,0.4,-0.00916275978088379
