source,target,spatial_distance,binary_jaccard,geometric_distance,geometric_direction,geometric_image,geometric_depth,geometric_composite,common_camera_count,feature_cosine,feature_l2,scaling_l2,offset_l2
21,99,0.7723844470800246,0.9090909361839294,0.9924322962760925,0.9999534487724304,0.9800931811332703,0.9945138692855835,0.9917482137680054,20.0,0.7356829047203064,9.659391403198242,0.4419649541378021,0.8314887285232544
21,2,1.0030352947114687,0.6000000238418579,0.9925763607025146,0.9999120831489563,0.9405342936515808,0.9969711303710938,0.9824984669685364,12.0,0.9347827434539795,4.524964332580566,0.06303372234106064,2.6936941146850586
24,50,0.4559283604067463,0.9166666865348816,0.9936092495918274,0.9999887347221375,0.9917498230934143,0.991677463054657,0.994256317615509,11.0,0.7487049698829651,6.757692337036133,0.06773114949464798,3.7575571537017822
24,91,0.48218361933691833,0.800000011920929,0.9931744933128357,0.9999875426292419,0.9918587803840637,0.9946969151496887,0.9949294328689575,12.0,0.2710410952568054,10.494921684265137,0.40534308552742004,7.707638263702393
24,33,0.5954480190239052,0.9166666865348816,0.9938129186630249,0.9999727606773376,0.9800956845283508,0.9907824993133545,0.9911659359931946,11.0,0.5033619999885559,9.310470581054688,0.36830151081085205,8.585721015930176
46,170,0.8631102128480197,0.8571428656578064,0.9840992093086243,0.99998539686203,0.9902008175849915,0.9863772392272949,0.990165650844574,12.0,0.06700251996517181,13.784624099731445,0.13249842822551727,3.9533538818359375
56,79,0.19738821850269364,1.0,0.9967241287231445,0.9999987483024597,0.9992953538894653,0.9972387552261353,0.9983142614364624,20.0,0.4969039559364319,8.445263862609863,0.34025660157203674,6.9919753074646
56,9,0.8520185360861975,0.6000000238418579,0.9949719905853271,0.9999322295188904,0.9507780075073242,0.9992905259132385,0.9862431883811951,12.0,0.27197906374931335,12.935412406921387,0.6498056054115295,2.377920627593994
56,51,0.9006406450741155,0.6000000238418579,0.9931774139404297,0.999927818775177,0.9513673782348633,0.9892606735229492,0.9834333062171936,12.0,0.15569977462291718,8.813713073730469,0.00918643083423376,6.402087688446045
63,62,0.7566754252879929,0.800000011920929,0.9977052807807922,0.9999415278434753,0.9772208333015442,0.9965722560882568,0.992859959602356,12.0,-0.16064386069774628,23.928165435791016,3.629924774169922,16.78769302368164
63,237,1.1663110727927875,0.8823529481887817,0.9771031737327576,0.9999893307685852,0.9941586852073669,0.9790222644805908,0.9875683784484863,15.0,0.8655746579170227,11.484026908874512,4.081099033355713,11.442144393920898
66,57,0.25338786952392583,0.8999999761581421,0.9997223615646362,0.9999934434890747,0.9966256022453308,0.9987599849700928,0.9987753629684448,18.0,0.48686453700065613,8.060568809509277,0.13974742591381073,4.668272972106934
66,65,0.556980813758095,0.6000000238418579,0.9963617920875549,0.9999710917472839,0.9828173518180847,0.9944043159484863,0.9933886528015137,12.0,0.4055342972278595,15.832585334777832,0.5374574661254883,9.493907928466797
69,30,0.9322646477035499,0.7692307829856873,0.9899543523788452,0.9999346733093262,0.9633802175521851,0.9870049357414246,0.9850685596466064,10.0,-0.02875986509025097,15.685128211975098,1.5724577903747559,3.7220771312713623
69,147,0.9827954219007058,0.5789473652839661,0.997715413570404,0.9998992681503296,0.9267014861106873,0.9968138337135315,0.9802824854850769,11.0,0.33075931668281555,11.384224891662598,1.5458967685699463,3.7222695350646973
86,42,0.4640000709178241,1.0,0.9934911131858826,0.9999880194664001,0.9956283569335938,0.9926367402076721,0.9954360723495483,11.0,0.5797508955001831,9.922751426696777,0.06969872862100601,5.809875011444092
88,53,0.4672969953002076,0.9166666865348816,0.9928867220878601,0.9999897480010986,0.9942758083343506,0.9918911457061768,0.9947608709335327,11.0,0.8974476456642151,9.272624969482422,0.04709669202566147,2.993542194366455
100,61,0.7609775624106767,0.761904776096344,0.9975686073303223,0.9999412298202515,0.9776907563209534,0.9959703683853149,0.9927927255630493,16.0,0.5659164190292358,6.277518272399902,1.609824299812317,3.1138558387756348
122,81,0.3454908896989819,1.0,0.9967856407165527,0.9999898076057434,0.9955714344978333,0.9973228573799133,0.9974174499511719,12.0,-0.023878995329141617,23.49103355407715,0.1287485957145691,8.86169147491455
122,87,0.37378547268645773,1.0,0.9968166351318359,0.9999876618385315,0.9955323338508606,0.9968170523643494,0.9972884058952332,12.0,-0.059643205255270004,20.398452758789062,0.11607618629932404,6.184948921203613
122,133,0.4192237487493114,1.0,0.9996219277381897,0.9999812245368958,0.9915637969970703,0.9975020289421082,0.9971672296524048,12.0,-0.05180582031607628,25.010826110839844,0.14056774973869324,8.585260391235352
122,215,0.7360130959888903,0.8461538553237915,0.9858798980712891,0.9999918341636658,0.9948483109474182,0.9871997833251953,0.9919799566268921,11.0,0.027009280398488045,33.03984069824219,5.388061046600342,13.689702987670898
122,134,0.8777449119159715,0.8461538553237915,0.9997570514678955,0.9999178051948547,0.9677762389183044,0.9955140948295593,0.9907413125038147,11.0,-0.09968896210193634,20.12619400024414,0.13179835677146912,8.677410125732422
159,319,0.9443503824368095,0.9166666865348816,0.9850987792015076,0.9999580383300781,0.9834455847740173,0.9873462915420532,0.9889621734619141,11.0,-4.821955723599558e-09,14.87421703338623,0.37645792961120605,2.587656021118164
160,171,0.29545871163576143,0.9523809552192688,0.9998914003372192,0.9999907612800598,0.9957151412963867,0.9984060525894165,0.9985008239746094,20.0,0.10925355553627014,14.783509254455566,0.0653274804353714,7.011897087097168
160,138,0.5225934083818817,0.6000000238418579,0.9997601509094238,0.9999708533287048,0.9781669974327087,0.9966590404510498,0.9936392307281494,12.0,0.2610066533088684,18.57539939880371,0.05542149394750595,7.984361171722412
201,311,0.7569870028554163,0.7777777910232544,0.9871654510498047,0.9999790191650391,0.9897194504737854,0.9861552119255066,0.9907547831535339,14.0,0.7777777910232544,8.07967472076416,3.006277561187744,5.164318561553955
223,289,1.3813676508253663,0.7692307829856873,0.9895663261413574,0.9998226165771484,0.9354894757270813,0.9884784817695618,0.9783391952514648,20.0,-0.10394135117530823,20.369016647338867,0.1409486085176468,1.2361339330673218
226,202,0.4457092553796454,0.9523809552192688,0.9970554113388062,0.9999807476997375,0.9935311079025269,0.9969367980957031,0.9968760013580322,20.0,0.8215837478637695,8.066681861877441,0.12233822047710419,6.431018352508545
227,203,0.4390536570243149,0.9230769276618958,0.9989138245582581,0.9999799132347107,0.992060124874115,0.9975590705871582,0.9971282482147217,24.0,0.8549091815948486,6.8306803703308105,0.07827674597501755,4.893922805786133
227,419,1.1377984139757225,0.8846153616905212,0.9778079390525818,0.9999851584434509,0.9901491403579712,0.9761919975280762,0.98603355884552,23.0,0.9163796305656433,6.71754789352417,0.11549538373947144,2.2896533012390137
227,410,1.1682184195951315,0.8461538553237915,0.9783440232276917,0.9999712109565735,0.9842762351036072,0.976862907409668,0.9848635792732239,22.0,0.7032948136329651,12.713480949401855,0.12547776103019714,6.308635234832764
228,414,0.8354791737976789,0.9615384340286255,0.9828317165374756,0.9999992847442627,0.9995139241218567,0.9834084510803223,0.9914383292198181,25.0,0.0,23.305282592773438,0.7318538427352905,4.298727989196777
243,299,0.22803750735215472,0.9090909361839294,0.9964364767074585,0.9999974966049194,0.9985378980636597,0.9971553683280945,0.9980318546295166,20.0,-0.1767766773700714,18.42648696899414,0.6576098203659058,13.205275535583496
253,189,0.3995639628048764,1.0,0.9956181049346924,0.9999877214431763,0.9914517402648926,0.9976305961608887,0.9961720705032349,21.0,0.5329386591911316,8.613879203796387,0.31277063488960266,11.046233177185059
253,209,0.4369070557283847,1.0,0.9989591240882874,0.9999797344207764,0.9867011308670044,0.9983735084533691,0.9960033893585205,21.0,0.3552924394607544,18.090938568115234,0.2759091258049011,10.771648406982422
253,194,0.4732535262847151,1.0,0.9961681365966797,0.9999796748161316,0.9884198307991028,0.9979954957962036,0.995640754699707,21.0,0.22953659296035767,18.296125411987305,0.851158618927002,7.486556053161621
253,172,0.6451803464988833,1.0,0.9921285510063171,0.9999710917472839,0.9878578186035156,0.9937083125114441,0.993416428565979,21.0,-0.04828045144677162,12.949280738830566,0.025914793834090233,3.2261929512023926
254,195,0.3848817891475797,1.0,0.9965351819992065,0.9999871850013733,0.9901965260505676,0.9987503886222839,0.996367335319519,21.0,0.02813461422920227,22.42610740661621,0.3474704623222351,17.5368709564209
254,163,0.8879649228745582,0.8399999737739563,0.9862136840820312,0.9999644160270691,0.9852007627487183,0.9848917722702026,0.9890676736831665,21.0,0.7877854704856873,8.086710929870605,0.03457503765821457,4.799304962158203
