iteration,official_baseline_bpp,control_repro_bpp,view_topology_bpp,official_anchor_count,control_anchor_count,view_topology_anchor_count
11000,6.9316534996,6.6862421036,6.8800311089,157357,154786,156945
12000,6.6157350540,6.3644556999,6.4305777550,162549,159973,162215
13000,5.8590192795,5.7571387291,5.7777466774,167490,164962,167101
14000,5.4166078568,5.3988442421,5.3386754990,171961,169568,171564
15000,5.1352148056,5.0219321251,4.9702868462,175883,173702,175579
16000,4.8556118011,4.7189507484,4.7520747185,175883,173702,175579
17000,4.7979850769,4.6432828903,4.6085991859,175883,173702,175579
18000,4.6550321579,4.4714174271,4.4314336777,175883,173702,175579
19000,4.4273509979,4.3148107529,4.2994012833,175883,173702,175579
20000,4.3493809700,4.1450786591,4.2118196487,175883,173702,175579
21000,4.2859306335,4.1284651756,4.0712847710,175883,173702,175579
22000,4.1949725151,4.0437784195,4.0445613861,175883,173702,175579
23000,4.1487245559,4.0628795624,4.0301318169,175883,173702,175579
24000,4.2301211357,3.9780054092,3.9927413464,175883,173702,175579
25000,4.1174883842,3.9937651157,3.9867393970,175883,173702,175579
26000,4.1765007973,3.8941318989,3.9339370728,175883,173702,175579
27000,4.1363463402,3.8931083679,3.9069778919,175883,173702,175579
28000,4.0218806267,3.8606274128,3.9177849293,175883,173702,175579
29000,4.0186791420,3.8155968189,3.8662061691,175883,173702,175579
30000,4.0059208870,3.8754520416,3.8888866901,175883,173702,175579
