target,attribute,gate,residual_mean,residual_std,residual_mean_abs,residual_count
none,feature,1.0,,,,
none,scaling,1.0,,,,
none,offset,1.0,,,,
feature,feature,1.1823705434799194,0.13397142733923798,0.4331641870133954,0.3319608480120117,10645000
feature,scaling,1.0,,,,
feature,offset,1.0,,,,
scaling,feature,1.0,,,,
scaling,scaling,1.5005789995193481,-0.790361811518857,0.8511982722525224,0.8025732758753589,1278888
scaling,offset,1.0,,,,
offset,feature,1.0,,,,
offset,scaling,1.0,,,,
offset,offset,1.2215213775634766,-0.06217381397804337,0.4090335521376503,0.25293731689483423,6391620
all,feature,0.9981796741485596,0.20419159717561025,0.48512946796816075,0.3336242828485379,10654200
all,scaling,1.7514327764511108,-0.7953921876175988,0.8495290031682562,0.8072558660388695,1278504
all,offset,0.9738928079605103,-0.048326952814041126,0.5104241512437678,0.319835928239323,6392520
